5,1, Hanuman's Flight over Ocean
5,2, The city of Lanka
5,3, Hanuman conquers Lanka
5,4, Hanuman enters the city of Lanka
5,5, Ravana's palace
5,6, Inside the palace
5,7, Hanuman sees Pushpaka in Ravana's inner city
5,8, Description of the Pushpaka
5,9, The inner buildings of Ravana's house
5,10, Hanuman enters Ravana's house
5,11, Hanuman continues search for Seetha
5,12, Hanuman's depression
5,13, Hanuman starts to search in Ashoka garden
5,14, Hanuman enters the Ashoka garden
5,15, Hanuman sees Seetha
5,16, Hanuman's grief at the plight of Seetha
5,17, Hanuman sees Seetha with ogresses
5,18, Ravana comes to Seetha
5,19, Seetha in Ashoka garden
5,20, Ravana talks to Seetha
5,21, Seetha's reply
5,22, Ravana gives deadline
5,23, Ogres frighten Seetha
5,24, Seetha's reply to Ogres
5,25, Seetha bursts into a wail
5,26, Seetha decides to give up life
5,27, Trijata's dream
5,28, Seetha recollects the time limit
5,29, Seetha experiences some good omens
5,30, Hanuman falls in dilemma
5,31, Hanuman began to narrate story to Seetha
5,32, Seetha is shocked to see Hanuman
5,33, Seetha antecedents to Hanuman
5,34, Hanuman reveals himself to be a messenger
5,35, Seetha asks Hanuman to describe the characteristics
5,36, Hanuman gives Seetha the signet ring sent by Rama
5,37, Seetha was both delighted and depressed
5,38, Hanuman asks Seetha to give him a token of remembrance
5,39, To urge Rama and Lakshmana
5,40, Hanuman consoles Seetha and travels northward
5,41, Hanuman thinks to meet Ravana
5,42, Female-demons enquire Seetha about Hanuman
5,43, Hanuman thinks of destroying a sacred sanctuary of demons
5,44, Ravana sends Jambumali
5,45, Hanuman kills Prahasta's seven sons
5,46, Ravana sends five army-generals
5,47, Ravana sends his son Aksha
5,48, Ravana sends his son Indrajit
5,49, Hanuman sees well-adorned Ravana
5,50, Hanuman declares himself to be a messenger
5,51, Hanuman narrates the story
5,52, Ravana orders Hanuman to be killed
5,53, Later Ravana orders to set fire to his tail
5,54, Hanuman makes up his mind to set fire to the city of Lanka
5,55, Hanuman doubts whether Seetha dies in the fire
5,56, Hanuman again visits Ashoka garden and sees Seetha
5,57, Hanuman leaps from Lanka and touches Mount Mainaka
5,58, Jambavan requests Hanuman to narrate clearly the happenings
5,59, Hanuman describes the plight of Seetha to his fellow monkeys
5,60, Jambavan's wise guidelines
5,61, Monkeys halt at Madhuvana
5,62, Dadhimukha departs to Kishkindha
5,63, Dadhimukha reports Madhuvana destruction to Sugreeva
5,64, Hanuman apprises of the discovery of Seetha
5,65, Hanuman conveys Seetha's message to Sri Rama
5,66, Sri Rama urges Hanuman to repeat the words spoken by Seetha
5,67, Hanuman narrates an incident connected with a crow
5,68, Hanuman conveys to Rama that Seetha expressed a grave doubt
